"region","sample","obs.mut","sim.mut","sim.mut.normality","log2fc","pvalue","observed.variant.required","observed.variant.requirement.met"
"cellular response to heat","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"myeloid cell homeostasis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron projection development","MMEB9_C1",0,1,3.7e-24,-1,0.4785,11,FALSE
"receptor metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"maintenance of protein location in cell","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"apoptotic mitochondrial changes","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to transforming growth factor beta","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"neural tube development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"maintenance of protein location","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of ubiquitin-protein transferase activity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cilium assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mRNA export from nucleus","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate junction organization","MMEB9_C1",1,0,3.7e-24,1,0.2198,11,FALSE
"membrane biogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cilium organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"platelet-derived growth factor receptor signaling pathway","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"iron-sulfur cluster assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"metallo-sulfur cluster assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"centromere complex assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to oxygen levels","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"fatty acid beta-oxidation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"organelle localization by membrane tethering","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"autophagosome maturation","MMEB9_C1",1,0,3.7e-24,1,0.1063,11,FALSE
"cellular response to transforming growth factor beta stimulus","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"nucleotide catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"tube closure","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of stem cell differentiation","MMEB9_C1",1,0,3.7e-24,1,0.1542,11,FALSE
"substrate adhesion-dependent cell spreading","MMEB9_C1",1,0,3.7e-24,1,0.2462,11,FALSE
"chondrocyte differentiation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of fibroblast proliferation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"morphogenesis of an epithelial sheet","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"microtubule polymerization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to virus","MMEB9_C1",1,0,3.7e-24,1,0.4765,11,FALSE
"membrane assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"COPII vesicle coating","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"erythrocyte differentiation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"organophosphate catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of embryonic development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of focal adhesion assembly","MMEB9_C1",1,0,3.7e-24,1,0.2094,11,FALSE
"regulation of cell-substrate junction assembly","MMEB9_C1",1,0,3.7e-24,1,0.2094,11,FALSE
"regulation of extracellular matrix organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"GPI anchor biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium organization","MMEB9_C1",1,0,3.7e-24,1,0.2047,11,FALSE
"positive regulation of stem cell population maintenance","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"monosaccharide metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"U2-type prespliceosome assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"heterochromatin formation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"peroxisome organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial fission","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular pigmentation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of fibroblast migration","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular carbohydrate metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of axonogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"kinetochore organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"stem cell differentiation","MMEB9_C1",1,0,3.7e-24,1,0.3813,11,FALSE
"proton transmembrane transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to insulin stimulus","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment of mitotic spindle localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell redox homeostasis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"stress granule assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein neddylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane potential","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"neuron death","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"defense response to virus","MMEB9_C1",1,0,3.7e-24,1,0.3645,11,FALSE
"sulfur compound metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"NADP metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"vacuolar acidification","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"oligosaccharide-lipid intermediate biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"lysosomal lumen acidification","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"glycosyl compound biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"heart valve development","MMEB9_C1",1,0,3.7e-24,1,0.1801,11,FALSE
"water-soluble vitamin metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"interferon-beta production","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of interferon-beta production","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"branched-chain amino acid metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of mitochondrial membrane permeability","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"respiratory tube development","MMEB9_C1",1,0,3.7e-24,1,0.3534,11,FALSE
"cellular senescence","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of neurogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial outer membrane permeabilization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"immune system development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"clathrin-dependent endocytosis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of viral process","MMEB9_C1",1,0,3.7e-24,1,0.1105,11,FALSE
"bone development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell-substrate adhesion","MMEB9_C1",2,1,3.7e-24,0.584962500721156,0.6313,22,FALSE
"positive regulation of microtubule polymerization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"pteridine-containing compound metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to arsenic-containing substance","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to insulin","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ubiquinone metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to arsenic-containing substance","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"inositol phosphate catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"telomerase RNA localization to Cajal body","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"respiratory system development","MMEB9_C1",1,0,3.7e-24,1,0.3783,11,FALSE
"regulation of generation of precursor metabolites and energy","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial calcium ion homeostasis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"G0 to G1 transition","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial genome maintenance","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"release of cytochrome c from mitochondria","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cortical cytoskeleton organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to sterol depletion","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of ncRNA transcription","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mesenchymal cell differentiation","MMEB9_C1",1,0,3.7e-24,1,0.4242,11,FALSE
"protein-DNA complex subunit organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to fluid shear stress","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"collagen fibril organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"roof of mouth development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein dephosphorylation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"multicellular organism growth","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"miRNA processing","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"small molecule catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of G0 to G1 transition","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"circadian regulation of gene expression","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of translational fidelity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ubiquinone biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial calcium ion transmembrane transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"quinone biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"viral release from host cell","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"exit from host cell","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of GTPase activity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cytokinesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"renal system development","MMEB9_C1",0,1,3.7e-24,-1,0.5281,11,FALSE
"regulation of cysteine-type endopeptidase activity involved in apoptotic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell-substrate adhesion","MMEB9_C1",2,0,3.7e-24,1.58496250072116,0.1256,8,FALSE
"centrosome localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"microtubule organizing center localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"pinocytosis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium assembly","MMEB9_C1",1,0,3.7e-24,1,0.1647,11,FALSE
"cellular response to sterol depletion","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"placenta development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"rhythmic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"spindle localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"carbohydrate derivative catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to amino acid","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular steroid hormone receptor signaling pathway","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron death","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ossification","MMEB9_C1",0,1,3.7e-24,-1,0.4609,11,FALSE
"mammary gland epithelial cell proliferation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribosomal subunit export from nucleus","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ribosome localization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"seminiferous tubule development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to acid chemical","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of kinase activity","MMEB9_C1",1,1,3.7e-24,0,1,747,FALSE
"positive regulation by host of viral process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion morphogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of establishment of cell polarity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular lipid catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"neuron apoptotic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"inner cell mass cell proliferation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"polyamine biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"folic acid metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"organelle inheritance","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"polyol metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of type I interferon-mediated signaling pathway","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"intracellular lipid transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"fat cell differentiation","MMEB9_C1",2,0,3.7e-24,1.58496250072116,0.0668,8,FALSE
"iron ion homeostasis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of cell projection organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"dicarboxylic acid metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of anatomical structure size","MMEB9_C1",0,1,3.7e-24,-1,0.45,11,FALSE
"regulation of small molecule metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"pentose-phosphate shunt","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"pericardium development","MMEB9_C1",1,0,3.7e-24,1,0.0546,11,FALSE
"lysosomal protein catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"carbohydrate derivative transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"alcohol biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of membrane permeability","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"signal peptide processing","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"UV-damage excision repair","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"biological process involved in interaction with host","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"body morphogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"extracellular vesicle biogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of defense response to virus","MMEB9_C1",1,0,3.7e-24,1,0.0551,11,FALSE
"aminoglycan biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"sterol biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"polyamine metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"magnesium ion transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"lamellipodium morphogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of neuron migration","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of glucose metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"monosaccharide biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"response to acid chemical","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of carbohydrate metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"positive regulation of nervous system development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of circadian rhythm","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"trabecula morphogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"pigment accumulation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular pigment accumulation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of pinocytosis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of ligase activity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"smoothened signaling pathway involved in dorsal/ventral neural tube patterning","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"glycosyl compound metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"substantia nigra development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"negative regulation of GTPase activity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"axon extension","MMEB9_C1",1,0,3.7e-24,1,0.2259,11,FALSE
"positive regulation of epithelial to mesenchymal transition","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"one-carbon metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"NADPH regeneration","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to dsRNA","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"neuron projection organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"postsynapse organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of ketone biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"mitochondrion distribution","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagosome maturation","MMEB9_C1",1,0,3.7e-24,1,0.0385,11,FALSE
"magnesium ion transmembrane transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of cell division","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"intermembrane lipid transfer","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"organophosphate ester transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"movement in host","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"extracellular matrix assembly","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular metabolic compound salvage","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of ATP-dependent activity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cell migration involved in heart development","MMEB9_C1",1,0,3.7e-24,1,0.0517,11,FALSE
"cellular response to fluid shear stress","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"sphingomyelin biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ether lipid biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"embryonic body morphogenesis","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"amino sugar biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"glycerol ether biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"pigmentation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"cellular response to ketone","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"nonribosomal peptide biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"glial cell apoptotic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"lipoprotein catabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"suppression of viral release by host","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"chaperone-mediated autophagy","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of steroid hormone biosynthetic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"synaptic vesicle lumen acidification","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"semaphorin-plexin signaling pathway involved in neuron projection guidance","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of Golgi organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"Schwann cell differentiation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"neurotrophin signaling pathway","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of microtubule depolymerization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"basement membrane organization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"establishment or maintenance of epithelial cell apical/basal polarity","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"face development","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"osteoblast differentiation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"appendage development","MMEB9_C1",1,0,3.7e-24,1,0.3125,11,FALSE
"limb development","MMEB9_C1",1,0,3.7e-24,1,0.3125,11,FALSE
"regulation of ATP metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"developmental growth involved in morphogenesis","MMEB9_C1",1,0,3.7e-24,1,0.3642,11,FALSE
"embryonic organ development","MMEB9_C1",0,1,3.7e-24,-1,0.4602,11,FALSE
"negative regulation of growth","MMEB9_C1",1,0,3.7e-24,1,0.3961,11,FALSE
"microtubule depolymerization","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"heme metabolic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"regulation of neuron apoptotic process","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"plasma membrane tubulation","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"exosomal secretion","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"vasculogenesis","MMEB9_C1",1,0,3.7e-24,1,0.1833,11,FALSE
"toxin transport","MMEB9_C1",0,0,3.7e-24,0,1,747,FALSE
"ncRNA processing","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"ribosome biogenesis","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"rRNA metabolic process","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"proteasome-mediated ubiquitin-dependent protein catabolic process","MMEB9_C2",0,1,3.7e-24,-1,0.4901,11,FALSE
"regulation of response to DNA damage stimulus","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"establishment of protein localization to organelle","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"macroautophagy","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"regulation of chromosome organization","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"Golgi vesicle transport","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"double-strand break repair","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"histone modification","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"sister chromatid segregation","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"DNA replication","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"chromosome segregation","MMEB9_C2",0,1,3.7e-24,-1,0.4808,11,FALSE
"mitochondrial gene expression","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"nucleocytoplasmic transport","MMEB9_C2",1,0,3.7e-24,1,0.4947,11,FALSE
"nuclear transport","MMEB9_C2",1,0,3.7e-24,1,0.4947,11,FALSE
"regulation of DNA repair","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"peptidyl-lysine modification","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"protein targeting","MMEB9_C2",0,1,3.7e-24,-1,0.5321,11,FALSE
"cytoplasmic translation","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"regulation of autophagy","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"signal transduction in response to DNA damage","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"regulation of intracellular transport","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"protein localization to nucleus","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"microtubule cytoskeleton organization involved in mitosis","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"telomere maintenance","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"cell cycle checkpoint signaling","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein modification by small protein conjugation or removal","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"cellular respiration","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"cellular component disassembly","MMEB9_C2",1,1,3.7e-24,0,1,747,FALSE
"nuclear chromosome segregation","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"regulation of protein stability","MMEB9_C2",1,0,3.7e-24,1,0.4817,11,FALSE
"regulation of cell cycle phase transition","MMEB9_C2",0,1,3.7e-24,-1,0.4597,11,FALSE
"regulation of protein catabolic process","MMEB9_C2",0,1,3.7e-24,-1,0.5079,11,FALSE
"response to endoplasmic reticulum stress","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"vesicle organization","MMEB9_C2",0,1,3.7e-24,-1,0.5282,11,FALSE
"mitochondrial respiratory chain complex assembly","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"DNA-templated transcription elongation","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"mitochondrial transport","MMEB9_C2",0,0,3.7e-24,0,1,747,FALSE
"establishment of organelle localization","MMEB9_C2",0,1,3.7e-24,-1,0.4611,11,FALSE
"regulation of intracellular protein transport","MMEB9_C2",1,0,3.7e-24,1,0.4015,11,FALSE
